Topics;Alpha;Beta;min_df;max_df;Top_N_Words;Coherence;Perplexity;Vocab_Size;Top_words_per_topic
1;0.01;0.01;2;0.8;4;0.5542537525225292;1339.0833209926666;1189;[['system', 'hydropower', 'fault', 'feature']]
1;0.01;0.01;2;0.8;5;0.49965372265440405;1339.0833209926666;1189;[['system', 'hydropower', 'fault', 'feature', 'power']]
1;0.01;0.01;2;0.8;7;0.4790632680536312;1339.0833209926666;1189;[['system', 'hydropower', 'fault', 'feature', 'power', 'maintenance', 'turbine']]
1;0.01;0.01;2;0.8;10;0.3528527666502159;1339.0833209926666;1189;[['system', 'hydropower', 'fault', 'feature', 'power', 'maintenance', 'turbine', 'monitoring', 'algorithm', 'time']]
1;0.01;0.1;2;0.8;4;0.5542537525225292;1016.2700334763197;1189;[['system', 'hydropower', 'fault', 'feature']]
1;0.01;0.1;2;0.8;5;0.49965372265440405;1016.2700334763197;1189;[['system', 'hydropower', 'fault', 'feature', 'power']]
1;0.01;0.1;2;0.8;7;0.4790632680536312;1016.2700334763197;1189;[['system', 'hydropower', 'fault', 'feature', 'power', 'maintenance', 'turbine']]
1;0.01;0.1;2;0.8;10;0.3528527666502159;1016.2700334763197;1189;[['system', 'hydropower', 'fault', 'feature', 'power', 'maintenance', 'turbine', 'monitoring', 'algorithm', 'time']]
1;0.01;0.3;2;0.8;4;0.5542537525225292;921.3258582339405;1189;[['system', 'hydropower', 'fault', 'feature']]
1;0.01;0.3;2;0.8;5;0.49965372265440405;921.3258582339405;1189;[['system', 'hydropower', 'fault', 'feature', 'power']]
1;0.01;0.3;2;0.8;7;0.4790632680536312;921.3258582339405;1189;[['system', 'hydropower', 'fault', 'feature', 'power', 'maintenance', 'turbine']]
1;0.01;0.3;2;0.8;10;0.3528527666502159;921.3258582339405;1189;[['system', 'hydropower', 'fault', 'feature', 'power', 'maintenance', 'turbine', 'monitoring', 'algorithm', 'time']]
1;0.01;0.5;2;0.8;4;0.5542537525225292;891.9539729765909;1189;[['system', 'hydropower', 'fault', 'feature']]
1;0.01;0.5;2;0.8;5;0.49965372265440405;891.9539729765909;1189;[['system', 'hydropower', 'fault', 'feature', 'power']]
1;0.01;0.5;2;0.8;7;0.4790632680536312;891.9539729765909;1189;[['system', 'hydropower', 'fault', 'feature', 'power', 'maintenance', 'turbine']]
1;0.01;0.5;2;0.8;10;0.3528527666502159;891.9539729765909;1189;[['system', 'hydropower', 'fault', 'feature', 'power', 'maintenance', 'turbine', 'monitoring', 'algorithm', 'time']]
1;0.01;1;2;0.8;4;0.5542537525225292;868.98223093427;1189;[['system', 'hydropower', 'fault', 'feature']]
1;0.01;1;2;0.8;5;0.49965372265440405;868.98223093427;1189;[['system', 'hydropower', 'fault', 'feature', 'power']]
1;0.01;1;2;0.8;7;0.4790632680536312;868.98223093427;1189;[['system', 'hydropower', 'fault', 'feature', 'power', 'maintenance', 'turbine']]
