Topics;Alpha;Beta;min_df;max_df;Top_N_Words;Coherence;Perplexity;Vocab_Size;Top_words_per_topic
1;0.01;0.01;2;0.8;4;-1.2740152234933284;1339.0833209926666;1189;[['system', 'hydropower', 'fault', 'feature']]
1;0.01;0.01;2;0.8;5;-1.2201489026565404;1339.0833209926666;1189;[['system', 'hydropower', 'fault', 'feature', 'power']]
1;0.01;0.01;2;0.8;7;-1.296250294444297;1339.0833209926666;1189;[['system', 'hydropower', 'fault', 'feature', 'power', 'maintenance', 'turbine']]
1;0.01;0.01;2;0.8;10;-1.1742515127283653;1339.0833209926666;1189;[['system', 'hydropower', 'fault', 'feature', 'power', 'maintenance', 'turbine', 'monitoring', 'algorithm', 'time']]
1;0.01;0.1;2;0.8;4;-1.2740152234933284;1016.2700334763197;1189;[['system', 'hydropower', 'fault', 'feature']]
1;0.01;0.1;2;0.8;5;-1.2201489026565404;1016.2700334763197;1189;[['system', 'hydropower', 'fault', 'feature', 'power']]
1;0.01;0.1;2;0.8;7;-1.296250294444297;1016.2700334763197;1189;[['system', 'hydropower', 'fault', 'feature', 'power', 'maintenance', 'turbine']]
1;0.01;0.1;2;0.8;10;-1.1742515127283653;1016.2700334763197;1189;[['system', 'hydropower', 'fault', 'feature', 'power', 'maintenance', 'turbine', 'monitoring', 'algorithm', 'time']]
1;0.01;0.3;2;0.8;4;-1.2740152234933284;921.3258582339405;1189;[['system', 'hydropower', 'fault', 'feature']]
1;0.01;0.3;2;0.8;5;-1.2201489026565404;921.3258582339405;1189;[['system', 'hydropower', 'fault', 'feature', 'power']]
1;0.01;0.3;2;0.8;7;-1.296250294444297;921.3258582339405;1189;[['system', 'hydropower', 'fault', 'feature', 'power', 'maintenance', 'turbine']]
1;0.01;0.3;2;0.8;10;-1.1742515127283653;921.3258582339405;1189;[['system', 'hydropower', 'fault', 'feature', 'power', 'maintenance', 'turbine', 'monitoring', 'algorithm', 'time']]
1;0.01;0.5;2;0.8;4;-1.2740152234933284;891.9539729765909;1189;[['system', 'hydropower', 'fault', 'feature']]
1;0.01;0.5;2;0.8;5;-1.2201489026565404;891.9539729765909;1189;[['system', 'hydropower', 'fault', 'feature', 'power']]
1;0.01;0.5;2;0.8;7;-1.296250294444297;891.9539729765909;1189;[['system', 'hydropower', 'fault', 'feature', 'power', 'maintenance', 'turbine']]
1;0.01;0.5;2;0.8;10;-1.1742515127283653;891.9539729765909;1189;[['system', 'hydropower', 'fault', 'feature', 'power', 'maintenance', 'turbine', 'monitoring', 'algorithm', 'time']]
1;0.01;1;2;0.8;4;-1.2740152234933284;868.98223093427;1189;[['system', 'hydropower', 'fault', 'feature']]
1;0.01;1;2;0.8;5;-1.2201489026565404;868.98223093427;1189;[['system', 'hydropower', 'fault', 'feature', 'power']]
1;0.01;1;2;0.8;7;-1.296250294444297;868.98223093427;1189;[['system', 'hydropower', 'fault', 'feature', 'power', 'maintenance', 'turbine']]
1;0.01;1;2;0.8;10;-1.173468988368179;868.98223093427;1189;[['system', 'hydropower', 'fault', 'feature', 'power', 'maintenance', 'turbine', 'algorithm', 'monitoring', 'time']]
1;0.01;symmetric;2;0.8;4;-1.2740152234933284;868.98223093427;1189;[['system', 'hydropower', 'fault', 'feature']]
1;0.01;symmetric;2;0.8;5;-1.2201489026565404;868.98223093427;1189;[['system', 'hydropower', 'fault', 'feature', 'power']]
1;0.01;symmetric;2;0.8;7;-1.296250294444297;868.98223093427;1189;[['system', 'hydropower', 'fault', 'feature', 'power', 'maintenance', 'turbine']]
