Topics;Alpha;Beta;min_df;max_df;top_n_words;Coherence;Perplexity;Vocab_Size;Top_words_per_topic
1;0.01;0.01;2;0.8;4;0.5808478432652626;2973.7278600291424;8282;turbine signal vibration prediction
1;0.01;0.01;2;0.8;5;0.48904530102236554;2973.7278600291424;8282;turbine signal vibration prediction wind
1;0.01;0.01;2;0.8;7;0.40390065550979;2973.7278600291424;8282;turbine signal vibration prediction wind forecasting frequency
1;0.01;0.01;2;0.8;10;0.34970619686002175;2973.7278600291424;8282;turbine signal vibration prediction wind forecasting frequency hydropower bearing lstm
1;0.01;0.1;2;0.8;4;0.5808478432652626;2810.894899538537;8282;turbine signal vibration prediction
1;0.01;0.1;2;0.8;5;0.48904530102236554;2810.894899538537;8282;turbine signal vibration prediction wind
1;0.01;0.1;2;0.8;7;0.40390065550979;2810.894899538537;8282;turbine signal vibration prediction wind forecasting frequency
1;0.01;0.1;2;0.8;10;0.34970619686002175;2810.894899538537;8282;turbine signal vibration prediction wind forecasting frequency hydropower bearing lstm
1;0.01;0.3;2;0.8;4;0.5808478432652626;2764.633014256057;8282;turbine signal vibration prediction
1;0.01;0.3;2;0.8;5;0.48904530102236554;2764.633014256057;8282;turbine signal vibration prediction wind
1;0.01;0.3;2;0.8;7;0.40390065550979;2764.633014256057;8282;turbine signal vibration prediction wind forecasting frequency
1;0.01;0.3;2;0.8;10;0.34970619686002175;2764.633014256057;8282;turbine signal vibration prediction wind forecasting frequency hydropower bearing lstm
1;0.01;0.5;2;0.8;4;0.5808478432652626;2757.021540003907;8282;turbine signal vibration prediction
1;0.01;0.5;2;0.8;5;0.48904530102236554;2757.021540003907;8282;turbine signal vibration prediction wind
1;0.01;0.5;2;0.8;7;0.40390065550979;2757.021540003907;8282;turbine signal vibration prediction wind forecasting frequency
1;0.01;0.5;2;0.8;10;0.34970619686002175;2757.021540003907;8282;turbine signal vibration prediction wind forecasting frequency hydropower bearing lstm
1;0.01;1;2;0.8;4;0.5808478432652626;2769.7609514841597;8282;turbine signal vibration prediction
1;0.01;1;2;0.8;5;0.48904530102236554;2769.7609514841597;8282;turbine signal vibration prediction wind
1;0.01;1;2;0.8;7;0.40390065550979;2769.7609514841597;8282;turbine signal vibration prediction wind forecasting frequency
1;0.01;1;2;0.8;10;0.34970619686002175;2769.7609514841597;8282;turbine signal vibration prediction wind forecasting frequency hydropower bearing lstm
1;0.01;symmetric;2;0.8;4;0.5808478432652626;2769.7609514841597;8282;turbine signal vibration prediction
1;0.01;symmetric;2;0.8;5;0.48904530102236554;2769.7609514841597;8282;turbine signal vibration prediction wind
1;0.01;symmetric;2;0.8;7;0.40390065550979;2769.7609514841597;8282;turbine signal vibration prediction wind forecasting frequency
1;0.01;symmetric;2;0.8;10;0.34970619686002175;2769.7609514841597;8282;turbine signal vibration prediction wind forecasting frequency hydropower bearing lstm
1;0.1;0.01;2;0.8;4;0.5808478432652626;2973.7278600291424;8282;turbine signal vibration prediction
1;0.1;0.01;2;0.8;5;0.48904530102236554;2973.7278600291424;8282;turbine signal vibration prediction wind
1;0.1;0.01;2;0.8;7;0.40390065550979;2973.7278600291424;8282;turbine signal vibration prediction wind forecasting frequency
