Topics;Alpha;Beta;min_df;max_df;top_n_words;Coherence;Perplexity;Vocab_Size;Top_words_per_topic
1;0.01;0.01;2;0.8;4;-0.23064547052847753;2973.7278600291424;8282;turbine signal vibration prediction
1;0.01;0.1;2;0.8;4;-0.23064547052847753;2810.894899538537;8282;turbine signal vibration prediction
1;0.01;0.3;2;0.8;4;-0.23064547052847753;2764.633014256057;8282;turbine signal vibration prediction
1;0.01;0.5;2;0.8;4;-0.23064547052847753;2757.021540003907;8282;turbine signal vibration prediction
1;0.01;1;2;0.8;4;-0.23064547052847753;2769.7609514841597;8282;turbine signal vibration prediction
1;0.01;symmetric;2;0.8;4;-0.23064547052847753;2769.7609514841597;8282;turbine signal vibration prediction
1;0.1;0.01;2;0.8;4;-0.23064547052847753;2973.7278600291424;8282;turbine signal vibration prediction
1;0.1;0.1;2;0.8;4;-0.23064547052847753;2810.894899538537;8282;turbine signal vibration prediction
1;0.1;0.3;2;0.8;4;-0.23064547052847753;2764.633014256057;8282;turbine signal vibration prediction
1;0.1;0.5;2;0.8;4;-0.23064547052847753;2757.021540003907;8282;turbine signal vibration prediction
1;0.1;1;2;0.8;4;-0.23064547052847753;2769.7609514841597;8282;turbine signal vibration prediction
1;0.1;symmetric;2;0.8;4;-0.23064547052847753;2769.7609514841597;8282;turbine signal vibration prediction
1;0.5;0.01;2;0.8;4;-0.23064547052847753;2973.7278600291424;8282;turbine signal vibration prediction
1;0.5;0.1;2;0.8;4;-0.23064547052847753;2810.894899538537;8282;turbine signal vibration prediction
1;0.5;0.3;2;0.8;4;-0.23064547052847753;2764.633014256057;8282;turbine signal vibration prediction
1;0.5;0.5;2;0.8;4;-0.23064547052847753;2757.021540003907;8282;turbine signal vibration prediction
1;0.5;1;2;0.8;4;-0.23064547052847753;2769.7609514841597;8282;turbine signal vibration prediction
1;0.5;symmetric;2;0.8;4;-0.23064547052847753;2769.7609514841597;8282;turbine signal vibration prediction
1;0.7;0.01;2;0.8;4;-0.23064547052847753;2973.7278600291424;8282;turbine signal vibration prediction
1;0.7;0.1;2;0.8;4;-0.23064547052847753;2810.894899538537;8282;turbine signal vibration prediction
1;0.7;0.3;2;0.8;4;-0.23064547052847753;2764.633014256057;8282;turbine signal vibration prediction
1;0.7;0.5;2;0.8;4;-0.23064547052847753;2757.021540003907;8282;turbine signal vibration prediction
